belnr,line_count,bukrs,gjahr,usnam,blart,budat,dmbtr_sum,dmbtr_max,vendor_group,ae_error_max,risk_score_max,risk_level,reason,action
5000015898,2,EU01,2018,4,12,2018-06-27,11872762200.0,5936381100.0,벤더 거래,1.9361248,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=26.6),유사 거래 대비 금액 적정성 검토 필요
90000403,12,C001,2022,21,9,2022-03-15,314959.48,50554.08,벤더 없는 거래 유형,1.836998,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=13.0),유사 거래 대비 금액 적정성 검토 필요
5000016552,2,EU01,2018,4,12,2018-09-25,9877249800.0,4938624900.0,벤더 거래,1.7673293,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=22.2),유사 거래 대비 금액 적정성 검토 필요
90000400,12,C001,2022,21,9,2022-03-15,276563.98,44154.83,벤더 없는 거래 유형,1.744296,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=11.3),유사 거래 대비 금액 적정성 검토 필요
90000397,12,C001,2022,21,9,2022-03-15,257366.19999999998,40955.2,벤더 없는 거래 유형,1.7350332,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=10.5),유사 거래 대비 금액 적정성 검토 필요
90001226,4,C001,2022,21,9,2022-03-29,109950.76000000001,28796.63,벤더 없는 거래 유형,1.6141645,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=7.3),유사 거래 대비 금액 적정성 검토 필요
90000395,4,C001,2022,17,9,2022-03-15,109371.64,27985.82,벤더 없는 거래 유형,1.5950254,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=7.1),유사 거래 대비 금액 적정성 검토 필요
90000408,4,C001,2022,17,9,2022-03-15,368680.32,94340.16,벤더 없는 거래 유형,1.5695819,65,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=24.6),유사 거래 대비 금액 적정성 검토 필요
4900000586,4,C001,2022,17,13,2022-03-19,92000.0,23000.0,벤더 없는 거래 유형,1.2271101,63,중위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=9.4) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
4900000585,4,C001,2022,17,13,2022-03-19,80000.0,20000.0,벤더 없는 거래 유형,1.2100455,63,중위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=8.2) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
1900000001,25,EU01,2022,18,5,2022-02-07,32620.0,3520.0,벤더 없는 거래 유형,2.9482248,62,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 480) | 해당 사용자의 평소 전기 패턴에서 5.5σ 이탈,환율 적용 기준 및 환차손익 처리 적정성 확인 필요 / 해당 사용자의 접근 권한 및 해당 시간대 업무 필요성 확인 필요
1900000000,35,EU01,2022,18,5,2022-02-07,24020.0,1600.0,벤더 없는 거래 유형,2.8712847,62,중위험,"현지통화와 문서통화 금액 차이 발생 (차이: 4,300) | 해당 사용자의 평소 전기 패턴에서 5.5σ 이탈",환율 적용 기준 및 환차손익 처리 적정성 확인 필요 / 해당 사용자의 접근 권한 및 해당 시간대 업무 필요성 확인 필요
5000017709,2,USA1,2018,19,12,2018-04-25,9888837300.0,4944418650.0,벤더 거래,1.3072872,61,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=22.2),유사 거래 대비 금액 적정성 검토 필요
4900000075,2,USA1,2020,11,13,2020-04-06,4.0,2.0,벤더 없는 거래 유형,361.81888,60,중위험,문서일자가 전기일보다 700일 앞선 역전 발생,회계 기간 소급 전기 여부 확인 필요 (backdating 의심)
4900000077,2,USA1,2020,11,13,2020-04-09,4.0,2.0,벤더 없는 거래 유형,358.9339,60,중위험,문서일자가 전기일보다 697일 앞선 역전 발생,회계 기간 소급 전기 여부 확인 필요 (backdating 의심)
4900000076,2,USA1,2020,11,13,2020-04-09,4.0,2.0,벤더 없는 거래 유형,358.40485,60,중위험,문서일자가 전기일보다 697일 앞선 역전 발생,회계 기간 소급 전기 여부 확인 필요 (backdating 의심)
4900000078,2,USA1,2020,11,13,2020-04-09,4.0,2.0,벤더 없는 거래 유형,358.40485,60,중위험,문서일자가 전기일보다 697일 앞선 역전 발생,회계 기간 소급 전기 여부 확인 필요 (backdating 의심)
5000018774,2,USA1,2018,4,12,2018-09-29,15740395200.0,7870197600.0,벤더 거래,1.2502109,59,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=35.3),유사 거래 대비 금액 적정성 검토 필요
5000018775,2,USA1,2018,4,12,2018-09-16,16368402600.0,8184201300.0,벤더 거래,1.2468265,59,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=36.8),유사 거래 대비 금액 적정성 검토 필요
90001224,4,C001,2022,21,9,2022-03-29,97734.0,25597.0,벤더 없는 거래 유형,1.2457739,59,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=6.4),유사 거래 대비 금액 적정성 검토 필요
4900000161,12,USA1,2022,4,11,2022-04-02,116083087128.06,25241657664.25,벤더 없는 거래 유형,2.3426383,58,중위험,동일 문서유형 내 금액이 평균 대비 유의미한 이상 (z=4.0),유사 거래 대비 금액 적정성 검토 필요
4900000157,12,USA1,2022,4,11,2022-04-02,118437883808.18,26255970842.93,벤더 없는 거래 유형,2.0987968,58,중위험,동일 문서유형 내 금액이 평균 대비 유의미한 이상 (z=4.1),유사 거래 대비 금액 적정성 검토 필요
4900000158,12,USA1,2022,4,11,2022-04-02,117545734863.96,27852220736.13,벤더 없는 거래 유형,1.6544375,58,중위험,동일 문서유형 내 금액이 평균 대비 유의미한 이상 (z=4.7),유사 거래 대비 금액 적정성 검토 필요
4900000162,12,USA1,2022,4,11,2022-04-02,106911983950.86,25890150709.75,벤더 없는 거래 유형,1.4854572,58,중위험,동일 문서유형 내 금액이 평균 대비 유의미한 이상 (z=4.3),유사 거래 대비 금액 적정성 검토 필요
5000017715,2,USA1,2018,19,12,2018-05-06,19382225400.0,9691112700.0,벤더 거래,1.2178994,58,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=43.5),유사 거래 대비 금액 적정성 검토 필요
1800000002,13,C001,2022,1,2,2022-03-09,14476.0,2200.0,벤더 없는 거래 유형,2.003785,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 231),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
1900000003,12,C001,2022,1,5,2022-02-11,20700.0,3200.0,벤더 거래,1.8719321,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 60),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
1900000009,5,C001,2022,1,5,2022-02-15,5708.25,1141.65,벤더 거래,1.8657082,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 142),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
1900000004,5,C001,2022,1,5,2022-02-11,470.0,94.0,벤더 거래,1.8656542,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 6),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
1400000008,14,C003,2022,1,3,2022-03-22,22730.68,4430.25,벤더 없는 거래 유형,1.7571297,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 249),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
4900000008,2,EU01,2022,11,13,2022-01-25,1760.0,880.0,벤더 거래,1.7147255,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 120),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
4900000004,3,EU01,2022,11,13,2022-01-24,552.0,200.0,벤더 거래,1.6379806,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 24),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
4900000002,6,EU01,2022,19,13,2022-01-23,1764.0,880.0,벤더 거래,1.6131433,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 120),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
4900000003,2,EU01,2022,19,13,2022-01-23,1760.0,880.0,벤더 거래,1.6023182,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 120),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
4900000009,2,EU01,2022,11,13,2022-01-25,1760.0,880.0,벤더 거래,1.5578445,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 120),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
4900000005,6,EU01,2022,20,13,2022-01-24,1764.0,880.0,벤더 거래,1.5546895,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 120),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
90000033,10,EU01,2022,11,9,2022-01-28,36202.4,9000.0,벤더 없는 거래 유형,1.5088215,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 1),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
1500000001,18,C001,2022,1,6,2022-02-17,21336.0,3200.0,벤더 거래,1.4705968,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 66),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
1500000002,6,C001,2022,1,6,2022-02-17,4566.6,1141.65,벤더 거래,1.4689367,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 142),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
90000046,4,EU01,2022,11,9,2022-02-07,15248.0,7536.0,벤더 없는 거래 유형,1.4584738,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 12),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
90000030,10,EU01,2022,11,9,2022-01-25,3982.94,825.0,벤더 없는 거래 유형,1.4546762,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 11),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
90000040,2,EU01,2022,11,9,2022-02-06,176.0,88.0,벤더 없는 거래 유형,1.442598,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 12),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
90000050,2,EU01,2022,20,9,2022-02-09,176.0,88.0,벤더 없는 거래 유형,1.4040445,57,중위험,현지통화와 문서통화 금액 차이 발생 (차이: 12),환율 적용 기준 및 환차손익 처리 적정성 확인 필요
5000017708,2,USA1,2018,19,12,2018-04-19,11906095500.0,5953047750.0,벤더 거래,1.178157,57,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=26.7),유사 거래 대비 금액 적정성 검토 필요
90000393,13,C001,2022,21,9,2022-03-15,253526.65,34555.95,벤더 없는 거래 유형,1.8674132,55,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=8.0),유사 거래 대비 금액 적정성 검토 필요
1800000000,31,C002,2022,1,2,2022-02-04,42952.5,7500.0,벤더 없는 거래 유형,1.8019094,55,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
90000007,9,C004,2022,17,9,2022-01-31,77350.0,15470.0,벤더 없는 거래 유형,1.6901718,55,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
5105600121,7,C001,2022,17,8,2022-02-01,24000.0,4800.0,벤더 없는 거래 유형,1.6151614,55,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
90000034,11,C003,2022,17,9,2022-02-17,67600.8,13500.0,벤더 없는 거래 유형,1.5136505,55,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
100000000,28,C001,2022,1,10,2022-01-03,46985.2,6912.0,벤더 없는 거래 유형,1.4631048,55,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
5000017711,2,USA1,2018,19,12,2018-05-24,12205096200.0,6102548100.0,벤더 거래,1.1419557,55,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=27.4),유사 거래 대비 금액 적정성 검토 필요
5000017710,2,USA1,2018,19,12,2018-04-25,13717101600.0,6858550800.0,벤더 거래,1.1347244,55,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=30.8),유사 거래 대비 금액 적정성 검토 필요
5000017707,2,USA1,2018,19,12,2018-04-19,14276776500.0,7138388250.0,벤더 거래,1.1301949,55,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=32.1),유사 거래 대비 금액 적정성 검토 필요
90000391,13,C001,2022,21,9,2022-03-15,231129.31,31356.33,벤더 없는 거래 유형,1.7737721,54,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=7.2),유사 거래 대비 금액 적정성 검토 필요
90000019,9,C004,2022,17,9,2022-01-31,65450.0,13090.0,벤더 없는 거래 유형,1.4011518,54,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
1800000001,17,C002,2022,1,2,2022-02-17,18500.0,2200.0,벤더 없는 거래 유형,1.3963001,54,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
5000017713,2,USA1,2018,19,12,2018-05-29,14310802800.0,7155401400.0,벤더 거래,1.103926,54,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=32.1),유사 거래 대비 금액 적정성 검토 필요
5000017718,2,USA1,2018,19,12,2018-05-01,15061659300.0,7530829650.0,벤더 거래,1.1025021,54,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=33.8),유사 거래 대비 금액 적정성 검토 필요
5000017703,2,USA1,2018,19,12,2018-05-29,15013225800.0,7506612900.0,벤더 거래,1.102451,54,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=33.7),유사 거래 대비 금액 적정성 검토 필요
5105600117,7,C001,2022,17,8,2022-02-01,24000.0,4800.0,벤더 없는 거래 유형,1.3481963,53,중위험,"금액이 1,000 단위 정수 (비정상 반올림 의심)",실제 청구서/계약서 금액과 대조 필요
90000101,4,C002,2022,17,9,2022-03-10,88307.5,22250.0,벤더 없는 거래 유형,1.0894219,53,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=5.5),유사 거래 대비 금액 적정성 검토 필요
5000017714,2,USA1,2018,19,12,2018-05-22,15717642300.0,7858821150.0,벤더 거래,1.0778689,53,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=35.3),유사 거래 대비 금액 적정성 검토 필요
5000018773,2,USA1,2018,4,12,2018-09-25,15230236500.0,7615118250.0,벤더 거래,1.0649681,53,중위험,동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=34.2),유사 거래 대비 금액 적정성 검토 필요
4900000407,4,C001,2022,17,13,2022-03-15,60000.0,15000.0,벤더 없는 거래 유형,0.9337838,53,중위험,"동일 문서유형 내 금액이 평균 대비 극단적 이상 (z=6.1) | 금액이 1,000 단위 정수 (비정상 반올림 의심)",유사 거래 대비 금액 적정성 검토 필요 / 실제 청구서/계약서 금액과 대조 필요
